,country,JavaScript,SQL,Java,C#,Python,PHP,C++,C,TypeScript,VBA,id,edu_index
55,Ireland,174.0,143.0,127.0,89.0,92.0,54.0,32.0,39.0,27.0,5.0,IRL,0.91
56,Nepal,60.0,46.0,38.0,24.0,16.0,48.0,24.0,26.0,5.0,2.0,NPL,0.475
57,Pakistan,161.0,134.0,111.0,109.0,47.0,133.0,75.0,58.0,11.0,3.0,PAK,0.395
58,Slovak Republic,71.0,66.0,50.0,34.0,34.0,53.0,36.0,40.0,16.0,2.0,SVK,0.823
59,Hungary,151.0,134.0,114.0,97.0,61.0,75.0,65.0,42.0,36.0,13.0,HUN,0.8340000000000001
60,Egypt,52.0,39.0,36.0,28.0,27.0,36.0,20.0,17.0,4.0,,EGY,0.601
61,Australia,476.0,384.0,229.0,298.0,211.0,177.0,126.0,107.0,91.0,37.0,AUS,0.9390000000000001
62,Japan,91.0,68.0,79.0,41.0,78.0,43.0,44.0,35.0,20.0,3.0,JPN,0.8420000000000001
63,South Korea,40.0,26.0,47.0,19.0,33.0,15.0,32.0,35.0,,1.0,KOR,0.867
64,Rwanda,4.0,4.0,4.0,1.0,2.0,3.0,2.0,2.0,,,RWA,0.426
65,Luxembourg,20.0,19.0,12.0,11.0,11.0,12.0,6.0,5.0,3.0,5.0,LUX,0.7829999999999999
66,Kazakhstan,14.0,9.0,11.0,5.0,6.0,8.0,5.0,3.0,1.0,1.0,KAZ,0.805
67,Bolivia,10.0,9.0,8.0,7.0,3.0,9.0,3.0,,1.0,2.0,BOL,0.656
68,Vietnam,38.0,18.0,22.0,20.0,15.0,14.0,20.0,16.0,6.0,4.0,VNM,0.617
69,Somalia,,1.0,,,1.0,1.0,1.0,1.0,,,SOM,0.0
70,Saudi Arabia,21.0,22.0,21.0,16.0,12.0,13.0,10.0,8.0,2.0,1.0,SAU,0.768
71,Ethiopia,5.0,8.0,11.0,6.0,4.0,12.0,5.0,1.0,1.0,1.0,ETH,0.318
72,Macedonia,30.0,25.0,18.0,20.0,8.0,10.0,8.0,6.0,5.0,,MKD,0.673
73,Bosnia-Herzegovina,31.0,30.0,16.0,23.0,8.0,22.0,13.0,9.0,12.0,3.0,BIH,0.694
74,Algeria,10.0,8.0,8.0,5.0,5.0,4.0,6.0,4.0,2.0,,DZA,0.6579999999999999
75,Nicaragua,5.0,4.0,1.0,,3.0,2.0,,1.0,,,NIC,0.542
76,Cuba,16.0,8.0,8.0,7.0,7.0,10.0,5.0,1.0,,,CUB,0.779
77,Indonesia,114.0,98.0,72.0,53.0,39.0,104.0,41.0,27.0,8.0,7.0,IDN,0.622
78,Netherlands Antilles,2.0,2.0,,1.0,,,,,1.0,,ANT,0.0
79,Jamaica,8.0,6.0,6.0,7.0,4.0,5.0,2.0,3.0,1.0,1.0,JAM,0.6779999999999999
80,Nigeria,71.0,65.0,54.0,34.0,31.0,67.0,12.0,14.0,13.0,8.0,NGA,0.47700000000000004
81,Ecuador,11.0,8.0,10.0,4.0,8.0,7.0,3.0,3.0,2.0,,ECU,0.665
82,Peru,33.0,29.0,24.0,15.0,21.0,15.0,12.0,4.0,4.0,5.0,PER,0.672
83,Malta,16.0,18.0,11.0,18.0,5.0,8.0,2.0,2.0,6.0,,MLT,0.7809999999999999
84,Uganda,10.0,9.0,9.0,9.0,4.0,10.0,3.0,5.0,2.0,1.0,UGA,0.467
85,Morocco,25.0,26.0,22.0,10.0,9.0,25.0,10.0,12.0,2.0,4.0,MAR,0.503
86,Guatemala,15.0,14.0,11.0,11.0,6.0,8.0,4.0,2.0,3.0,1.0,GTM,0.508
87,Jordan,19.0,20.0,12.0,15.0,3.0,10.0,6.0,4.0,2.0,1.0,JOR,0.701
88,Cyprus,13.0,12.0,5.0,7.0,3.0,11.0,4.0,3.0,2.0,1.0,CYP,0.7859999999999999
89,Georgia,22.0,18.0,7.0,13.0,4.0,12.0,8.0,5.0,6.0,,GEO,0.794
90,Armenia,18.0,13.0,8.0,7.0,6.0,10.0,8.0,6.0,4.0,1.0,ARM,0.73
91,Virgin Islands (USA),3.0,4.0,2.0,1.0,2.0,,,1.0,1.0,,VIR,0.0
92,Lebanon,18.0,27.0,18.0,17.0,4.0,16.0,6.0,6.0,3.0,6.0,LBN,0.6559999999999999
93,China,78.0,53.0,62.0,29.0,51.0,25.0,48.0,53.0,8.0,4.0,CHN,0.631
94,Bermuda,,1.0,,,,1.0,,,,,BMU,0.0
95,Latvia,53.0,51.0,36.0,25.0,14.0,31.0,12.0,13.0,8.0,6.0,LVA,0.835
96,Singapore,70.0,60.0,69.0,31.0,44.0,35.0,32.0,24.0,7.0,8.0,SGP,0.8140000000000001
97,Thailand,45.0,34.0,30.0,22.0,25.0,25.0,11.0,11.0,9.0,5.0,THA,0.6409999999999999
98,American Samoa,,,,,,,,,,,ASM,0.702
99,Puerto Rico,8.0,8.0,7.0,5.0,4.0,1.0,2.0,1.0,,1.0,PRI,0.0
100,Philippines,134.0,119.0,91.0,63.0,49.0,92.0,39.0,33.0,13.0,10.0,PHL,0.637
101,Hong Kong,57.0,47.0,46.0,21.0,26.0,32.0,20.0,11.0,10.0,8.0,HKG,0.0
102,Taiwan,32.0,23.0,21.0,12.0,22.0,14.0,16.0,13.0,2.0,,TWN,0.0
103,Cape Verde,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,CPV,0.0
104,Trinidad and Tobago,10.0,7.0,5.0,1.0,5.0,8.0,3.0,1.0,1.0,,TTO,0.7170000000000001
105,Mongolia,10.0,9.0,8.0,5.0,1.0,7.0,2.0,,,,MNG,0.737
106,Myanmar,11.0,12.0,13.0,4.0,3.0,6.0,2.0,,1.0,,MMR,0.41
107,North Korea,,,,,,,,,,,PRK,0.0
108,Afghanistan,7.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,1.0,,AFG,0.39799999999999996
109,Cambodia,6.0,3.0,3.0,1.0,,3.0,1.0,2.0,1.0,4.0,KHM,0.45899999999999996
110,Liechtenstein,2.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,LIE,0.818
111,Botswana,2.0,1.0,3.0,1.0,1.0,3.0,,,1.0,,BWA,0.6579999999999999
112,Madagascar,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,,MDG,0.49200000000000005
113,Mauritius,4.0,3.0,4.0,3.0,1.0,2.0,1.0,,,,MUS,0.725
114,Iraq,3.0,3.0,4.0,3.0,,2.0,,1.0,,,IRQ,0.5
115,Ghana,19.0,15.0,16.0,6.0,17.0,11.0,3.0,2.0,5.0,2.0,GHA,0.551
116,Aland Islands,2.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,,0.0
117,Zambia,2.0,3.0,2.0,1.0,2.0,1.0,1.0,,,,ZMB,0.5770000000000001
118,Iceland,15.0,12.0,11.0,12.0,5.0,2.0,7.0,3.0,3.0,,ISL,0.9059999999999999
119,Zimbabwe,5.0,8.0,5.0,5.0,4.0,3.0,3.0,1.0,,,ZWE,0.544
120,Azerbaidjan,6.0,9.0,6.0,8.0,4.0,9.0,3.0,3.0,1.0,,AZE,0.723
121,Kuwait,4.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,,KWT,0.611
122,Venezuela,31.0,29.0,24.0,13.0,14.0,20.0,13.0,12.0,3.0,3.0,VEN,0.710
123,S. Georgia & S. Sandwich Isls.,1.0,,,1.0,,,,,,,SGS,0.0
124,Panama,13.0,13.0,10.0,8.0,6.0,8.0,4.0,2.0,1.0,1.0,PAN,0.691
125,Andorra,,,,,1.0,,2.0,,,,AND,0.718
126,Cayman Islands,2.0,1.0,,1.0,2.0,,,,,,CYM,0.0
127,Bahamas,,,,,,,,,,,BHS,0.715
128,Honduras,2.0,3.0,4.0,4.0,,,3.0,,1.0,,HND,0.518
129,Sudan,2.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,,1.0,SDN,0.318
130,Syria,6.0,5.0,1.0,6.0,1.0,3.0,2.0,1.0,1.0,2.0,SYR,0.0
131,Gibraltar,,,,,,,,,,,GIB,0.0
132,Virgin Islands (British),,,,,,,,,,,VGB,0.0
